(-8200, 12165, -2479)
(-8257, 12243, -2578)
(-8314, 12321, -2677)
(-8371, 12399, -2776)
(-8428, 12477, -2875)
(-8485, 12555, -2974)
(-8542, 12633, -3073)
(-8599, 12711, -3172)
(-8656, 12789, -3271)
(-8713, 12867, -3370)
(-8770, 12945, -3469)
(-8827, 13023, -3568)
(-8884, 13101, -3667)
(-8941, 13179, -3766)
(-8998, 13257, -3865)
(-9055, 13335, -3964)
(-9112, 13413, -4063)
(-9169, 13491, -4162)
(-9226, 13569, -4261)
(-9283, 13647, -4360)
(-9340, 13725, -4459)
(-9397, 13803, -4558)
(-9454, 13881, -4657)
(-9511, 13959, -4756)
(-9568, 14037, -4855)
(-9625, 14115, -4954)
(-9682, 14193, -5053)
(-9739, 14271, -5152)
(-9796, 14349, -5251)
(-9853, 14427, -5350)
(-9910, 14505, -5449)
(-4218, 6705, 4302)
(-4275, 6783, 4203)
(-4332, 6861, 4104)
(-4389, 6939, 4005)
(-4446, 7017, 3906)
(-4503, 7095, 3807)
(-4560, 7173, 3708)
(-4617, 7251, 3609)
(-4674, 7329, 3510)
(-4731, 7407, 3411)
(-4788, 7485, 3312)
(-4845, 7563, 3213)
(-4902, 7641, 3114)
(-4959, 7719, 3015)
(-5016, 7797, 2916)
(-5073, 7875, 2817)
(-5130, 7953, 2718)
(-5187, 8031, 2619)
(-5244, 8109, 2520)
(-5301, 8187, 2421)
(-5358, 8265, 2322)
(-5415, 8343, 2223)
(-5472, 8421, 2124)
(-5529, 8499, 2025)
(-5586, 8577, 1926)
(-5643, 8655, 1827)
(-5700, 8733, 1728)
(-5757, 8811, 1629)
(-5814, 8889, 1530)
(-5871, 8967, 1431)
(-5928, 9045, 1332)
(-5985, 9123, 1233)
(-6042, 9201, 1134)
(-6099, 9279, 1035)
(-6156, 9357, 936)
(-6213, 9435, 837)
(-6270, 9513, 738)
(-6327, 9591, 639)
(-6384, 9669, 540)
(-6441, 9747, 441)
(-6498, 9825, 342)
(-6555, 9903, 243)
(-6612, 9981, 144)
(-6669, 10059, 45)
(-6726, 10137, -54)
(-6783, 10215, -153)
(-6840, 10293, -252)
(-6897, 10371, -351)
(-6954, 10449, -450)
(-7011, 10527, -549)
(-7068, 10605, -648)
(-7125, 10683, -747)
(-7182, 10761, -846)
(-7239, 10839, -945)
(-7296, 10917, -1044)
(-7353, 10995, -1143)
(-7410, 11073, -1242)
(-7467, 11151, -1341)
(-7524, 11229, -1440)
(-7581, 11307, -1539)
(-7638, 11385, -1638)
(-7695, 11463, -1737)
(-7752, 11541, -1836)
(-7809, 11619, -1935)
(-7866, 11697, -2034)
(-7923, 11775, -2133)
(-7980, 11853, -2232)
(-8037, 11931, -2331)
(-8094, 12009, -2430)
(-8151, 12087, -2529)
(-8208, 12165, -2628)
